Abbreviation,SchoolID,MasterSchoolID,StudentID,SSID,TestDate,TestType,TestPeriod,TestSubjectGroup,TestSubject,TestGrade,TestName,TestScoreType,AssessmentName,RawScore,ScaleScore
<<<<<<< HEAD
Oscar De La Hoya Animo Charter High,,,,9431020236,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2663.0,2663.0
Animo Ellen Ochoa Charter Middle,,,,1367208652,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2389.0,2389.0
Animo Ellen Ochoa Charter Middle,,,,1367208652,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2438.0,2438.0
Animo Ellen Ochoa Charter Middle,,,,7262472363,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2372.0,2372.0
Oscar De La Hoya Animo Charter High,,,,6935030482,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2501.0,2501.0
Oscar De La Hoya Animo Charter High,,,,2386978391,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2682.0,2682.0
Animo Ellen Ochoa Charter Middle,,,,1371616514,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2433.0,2433.0
Animo Ellen Ochoa Charter Middle,,,,1371616514,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2515.0,2515.0
Animo Ellen Ochoa Charter Middle,,,,7422487852,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2442.0,2442.0
Animo Ellen Ochoa Charter Middle,,,,7422487852,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2458.0,2458.0
Animo Ellen Ochoa Charter Middle,,,,5423460052,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2670.0,2670.0
Oscar De La Hoya Animo Charter High,,,,6935030482,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2440.0,2440.0
Oscar De La Hoya Animo Charter High,,,,4083933914,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2284.0,2284.0
Animo Ellen Ochoa Charter Middle,,,,3723409080,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2613.0,2613.0
Oscar De La Hoya Animo Charter High,,,,4083933914,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2375.0,2375.0
Oscar De La Hoya Animo Charter High,,,,9431020236,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2521.0,2521.0
Animo Ellen Ochoa Charter Middle,,,,3723409080,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2555.0,2555.0
Animo Ellen Ochoa Charter Middle,,,,5300613077,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2499.0,2499.0
