Abbreviation,SchoolID,MasterSchoolID,StudentID,SSID,TestDate,TestType,TestPeriod,TestSubjectGroup,TestSubject,TestGrade,TestName,TestScoreType,AssessmentName,RawScore,ScaleScore
Oscar De La Hoya Animo Charter High,,,,2386978391,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,633.0,633.0
Oscar De La Hoya Animo Charter High,,,,6935030482,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,570.0,570.0
Oscar De La Hoya Animo Charter High,,,,8486278356,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,574.0,574.0
Oscar De La Hoya Animo Charter High,,,,9431020236,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,620.0,620.0
Oscar De La Hoya Animo Charter High,,,,4083933914,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,563.0,563.0
Oscar De La Hoya Animo Charter High,,,,4332685915,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,594.0,594.0
Oscar De La Hoya Animo Charter High,,,,6104174040,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,584.0,584.0
Oscar De La Hoya Animo Charter High,,,,6487431085,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,576.0,576.0
Animo Ellen Ochoa Charter Middle,,,,7262472363,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,378.0,378.0
Animo Ellen Ochoa Charter Middle,,,,1367208652,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,386.0,386.0
Oscar De La Hoya Animo Charter High,,,,5919244571,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Animo Ellen Ochoa Charter Middle,,,,2387219040,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,412.0,412.0
Oscar De La Hoya Animo Charter High,,,,4075048067,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,608.0,608.0
Oscar De La Hoya Animo Charter High,,,,4238612267,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,595.0,595.0
Oscar De La Hoya Animo Charter High,,,,9128157028,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,572.0,572.0
Oscar De La Hoya Animo Charter High,,,,6245674762,2024-02-29,CAST,,Science,Science- Overall,12,CAST-Overall,,Grade 12 CAST,582.0,582.0
Oscar De La Hoya Animo Charter High,,,,4613084842,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,594.0,594.0
Animo Ellen Ochoa Charter Middle,,,,3723409080,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,381.0,381.0
Oscar De La Hoya Animo Charter High,,,,6039104736,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,614.0,614.0
Oscar De La Hoya Animo Charter High,,,,5361436146,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,602.0,602.0
Oscar De La Hoya Animo Charter High,,,,1930980565,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,607.0,607.0
Animo Ellen Ochoa Charter Middle,,,,8491078484,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,378.0,378.0
Oscar De La Hoya Animo Charter High,,,,7148449405,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,575.0,575.0
Oscar De La Hoya Animo Charter High,,,,9448919245,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,571.0,571.0
Animo Ellen Ochoa Charter Middle,,,,5300613077,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,383.0,383.0
Oscar De La Hoya Animo Charter High,,,,1081709144,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,623.0,623.0
Oscar De La Hoya Animo Charter High,,,,6647025802,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,618.0,618.0
Oscar De La Hoya Animo Charter High,,,,8675843466,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,593.0,593.0
Animo Ellen Ochoa Charter Middle,,,,4414607278,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,436.0,436.0
Oscar De La Hoya Animo Charter High,,,,8599139201,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,620.0,620.0
Animo Ellen Ochoa Charter Middle,,,,7518437932,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,364.0,364.0
Oscar De La Hoya Animo Charter High,,,,7699834732,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,629.0,629.0
Oscar De La Hoya Animo Charter High,,,,5564849275,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Oscar De La Hoya Animo Charter High,,,,8469231704,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,591.0,591.0
Oscar De La Hoya Animo Charter High,,,,9797668018,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Oscar De La Hoya Animo Charter High,,,,7696011960,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Oscar De La Hoya Animo Charter High,,,,5108905304,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,578.0,578.0
Oscar De La Hoya Animo Charter High,,,,4192698227,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,580.0,580.0
Oscar De La Hoya Animo Charter High,,,,7364051471,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,601.0,601.0
Oscar De La Hoya Animo Charter High,,,,2401147607,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,602.0,602.0
Oscar De La Hoya Animo Charter High,,,,4024647898,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,625.0,625.0
Oscar De La Hoya Animo Charter High,,,,8144234673,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,580.0,580.0
Animo Ellen Ochoa Charter Middle,,,,7422487852,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,383.0,383.0
Oscar De La Hoya Animo Charter High,,,,4380255483,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,619.0,619.0
Animo Ellen Ochoa Charter Middle,,,,8644073310,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,404.0,404.0
Oscar De La Hoya Animo Charter High,,,,7568536151,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,606.0,606.0
Oscar De La Hoya Animo Charter High,,,,9733947761,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,585.0,585.0
Oscar De La Hoya Animo Charter High,,,,1964121401,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,582.0,582.0
Oscar De La Hoya Animo Charter High,,,,8273553614,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,613.0,613.0
Oscar De La Hoya Animo Charter High,,,,4186486260,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,580.0,580.0
Oscar De La Hoya Animo Charter High,,,,4286729608,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,569.0,569.0
Animo Ellen Ochoa Charter Middle,,,,6335186905,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,381.0,381.0
Oscar De La Hoya Animo Charter High,,,,5698587363,2024-02-29,CAST,,Science,Science- Overall,12,CAST-Overall,,Grade 12 CAST,582.0,582.0
Oscar De La Hoya Animo Charter High,,,,1559650656,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,593.0,593.0
Oscar De La Hoya Animo Charter High,,,,5180698528,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,630.0,630.0
Oscar De La Hoya Animo Charter High,,,,5028759641,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,606.0,606.0
Oscar De La Hoya Animo Charter High,,,,8139036521,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,594.0,594.0
Oscar De La Hoya Animo Charter High,,,,2467097201,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,580.0,580.0
Oscar De La Hoya Animo Charter High,,,,4929469931,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,604.0,604.0
Oscar De La Hoya Animo Charter High,,,,1473979307,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,598.0,598.0
Oscar De La Hoya Animo Charter High,,,,9778294675,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,609.0,609.0
Oscar De La Hoya Animo Charter High,,,,5407855187,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,606.0,606.0
Oscar De La Hoya Animo Charter High,,,,9660210298,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,597.0,597.0
Oscar De La Hoya Animo Charter High,,,,1334663278,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,588.0,588.0
Oscar De La Hoya Animo Charter High,,,,2664153810,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,608.0,608.0
Oscar De La Hoya Animo Charter High,,,,6964317911,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,589.0,589.0
Animo Ellen Ochoa Charter Middle,,,,5265218327,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,369.0,369.0
Oscar De La Hoya Animo Charter High,,,,4234908442,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,630.0,630.0
Oscar De La Hoya Animo Charter High,,,,9549107447,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,596.0,596.0
Animo Ellen Ochoa Charter Middle,,,,5218533707,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,399.0,399.0
Oscar De La Hoya Animo Charter High,,,,3580535114,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,595.0,595.0
Oscar De La Hoya Animo Charter High,,,,6049703068,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,604.0,604.0
Oscar De La Hoya Animo Charter High,,,,8100374782,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,585.0,585.0
Oscar De La Hoya Animo Charter High,,,,4571094238,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Oscar De La Hoya Animo Charter High,,,,5682412260,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,616.0,616.0
Oscar De La Hoya Animo Charter High,,,,1597627528,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,615.0,615.0
Animo Ellen Ochoa Charter Middle,,,,3415643998,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,418.0,418.0
Animo Ellen Ochoa Charter Middle,,,,5105338896,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,374.0,374.0
Oscar De La Hoya Animo Charter High,,,,6108655375,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,623.0,623.0
Animo Ellen Ochoa Charter Middle,,,,3680068443,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,372.0,372.0
Oscar De La Hoya Animo Charter High,,,,3009889855,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,595.0,595.0
Oscar De La Hoya Animo Charter High,,,,9185138010,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,593.0,593.0
Oscar De La Hoya Animo Charter High,,,,9347878023,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,589.0,589.0
Oscar De La Hoya Animo Charter High,,,,4724832104,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,584.0,584.0
Oscar De La Hoya Animo Charter High,,,,4191812616,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,581.0,581.0
Oscar De La Hoya Animo Charter High,,,,5068770164,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,581.0,581.0
Animo Ellen Ochoa Charter Middle,,,,5739957461,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,401.0,401.0
Oscar De La Hoya Animo Charter High,,,,1327092344,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,582.0,582.0
Animo Ellen Ochoa Charter Middle,,,,6203890901,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,379.0,379.0
Oscar De La Hoya Animo Charter High,,,,5024196584,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,615.0,615.0
Animo Ellen Ochoa Charter Middle,,,,6410427243,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,383.0,383.0
Oscar De La Hoya Animo Charter High,,,,6948112307,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,630.0,630.0
Oscar De La Hoya Animo Charter High,,,,5306991851,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,591.0,591.0
Oscar De La Hoya Animo Charter High,,,,8603086083,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,604.0,604.0
Oscar De La Hoya Animo Charter High,,,,9617622377,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,623.0,623.0
Animo Ellen Ochoa Charter Middle,,,,4596355787,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,393.0,393.0
Oscar De La Hoya Animo Charter High,,,,5439324150,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,620.0,620.0
Animo Ellen Ochoa Charter Middle,,,,5423460052,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,417.0,417.0
Oscar De La Hoya Animo Charter High,,,,7459850373,2024-02-29,CAST,,Science,Science- Overall,12,CAST-Overall,,Grade 12 CAST,561.0,561.0
Oscar De La Hoya Animo Charter High,,,,8135754254,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,580.0,580.0
Animo Ellen Ochoa Charter Middle,,,,2403780467,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,399.0,399.0
Oscar De La Hoya Animo Charter High,,,,5582450992,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,576.0,576.0
Oscar De La Hoya Animo Charter High,,,,7322979014,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,602.0,602.0
Oscar De La Hoya Animo Charter High,,,,5614806960,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,627.0,627.0
Oscar De La Hoya Animo Charter High,,,,2283173054,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,609.0,609.0
Oscar De La Hoya Animo Charter High,,,,2526399628,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,592.0,592.0
Oscar De La Hoya Animo Charter High,,,,8584196218,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,580.0,580.0
Animo Ellen Ochoa Charter Middle,,,,1371616514,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,398.0,398.0
